BatchID,Accuracy,Precision,Recall,CumulativeAccuracy
130,0.5454545454545454,0.5181818181818183,0.5454545454545454,0.668235294117647
131,0.7,0.75,0.7,0.6684824902723735
132,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.6684698608964451
133,0.625,0.625,0.625,0.6682027649769585
134,0.75,0.7916666666666666,0.75,0.6687022900763359
135,0.7272727272727273,0.8484848484848485,0.7272727272727273,0.6691900075700227
136,0.5,0.4583333333333333,0.5,0.6681715575620768
137,0.5,0.5,0.5,0.6671652954375468
138,0.7,0.7666666666666666,0.7,0.6674090571640683
139,0.8,0.9333333333333333,0.8,0.6683861459100958
140,0.36363636363636365,0.34848484848484845,0.36363636363636365,0.6659356725146199
141,0.9,0.95,0.9,0.6676342525399129
142,0.75,0.78125,0.75,0.6681096681096681
143,0.625,0.6875,0.625,0.6678622668579627
144,0.5,0.6041666666666666,0.5,0.666904422253923
145,0.75,0.9166666666666666,0.75,0.6673758865248227
146,0.5,0.5700000000000001,0.5,0.6661971830985915
147,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.6675997200839748
148,0.9,1.0,0.8999999999999999,0.6692147324530924
149,0.7777777777777778,0.7444444444444445,0.7777777777777777,0.669889502762431
150,0.42857142857142855,0.18571428571428572,0.42857142857142855,0.6687285223367697
151,0.7777777777777778,0.7777777777777779,0.7777777777777779,0.6693989071038251
152,0.6666666666666666,0.9259259259259258,0.6666666666666667,0.6693822131704006
153,0.5,0.6875,0.5,0.6684672518568535
154,0.625,0.5833333333333333,0.625,0.6682337139019476
155,0.7142857142857143,0.7142857142857142,0.7142857142857142,0.6684491978609626
156,0.8888888888888888,1.0,0.8888888888888888,0.6697674418604651
157,0.8,1.0,0.8,0.6701986754966888
158,0.7142857142857143,0.8571428571428571,0.7142857142857142,0.6704021094264997
159,0.75,0.7916666666666666,0.75,0.6708196721311476
160,0.8181818181818182,0.9090909090909091,0.8181818181818181,0.671875
161,0.7692307692307693,0.891025641025641,0.7692307692307693,0.6726920593931569
162,0.875,0.9166666666666666,0.875,0.6737315350032113
163,0.5714285714285714,0.7619047619047619,0.5714285714285714,0.6732736572890026
164,0.5555555555555556,0.6851851851851851,0.5555555555555556,0.6726001271455817
165,0.6666666666666666,0.6481481481481481,0.6666666666666666,0.672566371681416
166,0.875,1.0,0.875,0.6735849056603773
167,0.4,0.3833333333333333,0.4,0.671875
168,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.6718458669981355
169,0.7272727272727273,0.7575757575757576,0.7272727272727273,0.6722222222222223
170,0.6363636363636364,0.6818181818181819,0.6363636363636364,0.6719803801348866
171,0.875,0.9166666666666666,0.875,0.6729713239780354
172,0.375,0.5416666666666666,0.375,0.6715239829993929
173,0.625,0.8333333333333333,0.625,0.6712990936555892
174,0.875,0.875,0.875,0.672279013830427
175,0.75,0.5729166666666666,0.75,0.6726511071214841
176,0.375,0.5714285714285714,0.375,0.6712328767123288
177,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.6712166172106825
178,0.875,0.9166666666666666,0.875,0.6721795629060838
179,0.75,0.90625,0.75,0.6725455614344503
180,1.0,1.0,1.0,0.6740784084259801
181,0.5,0.43333333333333335,0.5,0.673065735892961
182,0.5555555555555556,0.8425925925925926,0.5555555555555556,0.6724537037037037
183,0.875,0.7916666666666666,0.875,0.6733870967741935
184,0.8571428571428571,0.9047619047619047,0.8571428571428571,0.6741250717154331
185,0.5714285714285714,1.0,0.5714285714285714,0.6737142857142857
186,0.625,0.625,0.625,0.6734926052332195
187,0.5714285714285714,0.6190476190476191,0.5714285714285714,0.6730878186968838
188,0.5714285714285714,0.6190476190476191,0.5714285714285714,0.672686230248307
189,0.75,0.875,0.75,0.6730337078651686
190,0.75,0.75,0.75,0.6733780760626398
191,0.5555555555555556,0.7037037037037037,0.5555555555555556,0.672787979966611
192,0.5,0.375,0.5,0.6720221606648199
193,0.8,0.8666666666666667,0.8,0.6723756906077348
194,0.75,0.9375,0.75,0.6727172717271728
195,1.0,1.0,1.0,0.6741511500547646
196,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6741144414168937
197,0.5,0.4583333333333333,0.5,0.6733586543678785
198,0.5,0.625,0.5,0.6726094003241491
199,0.5,0.56,0.5,0.6716818914562064
200,0.875,0.78125,0.875,0.6725521669341894
201,0.6666666666666666,0.7407407407407407,0.6666666666666667,0.6725239616613419
202,0.625,0.875,0.625,0.672322375397667
203,0.5,0.35,0.5,0.6715945089757128
204,0.75,0.7916666666666666,0.75,0.6719242902208202
205,0.7142857142857143,0.7142857142857142,0.7142857142857142,0.6720796228391828
206,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.6710114702815433
207,0.6666666666666666,0.7555555555555556,0.6666666666666666,0.6709911779968863
208,0.5,0.475,0.5,0.6702842377260982
209,0.5,0.625,0.5,0.669583118888317
210,0.75,0.875,0.75,0.6699128651973347
211,0.875,0.9166666666666666,0.875,0.6707503828483921
212,0.5555555555555556,0.5185185185185185,0.5555555555555556,0.6702235772357723
213,0.75,0.7916666666666667,0.75,0.6705465587044535
214,0.75,1.0,0.75,0.670866935483871
215,1.0,1.0,1.0,0.6721887550200804
216,0.5,0.4375,0.5,0.6715
217,0.625,0.6125,0.625,0.6713147410358565
218,0.5,0.5,0.5,0.6711442786069651
219,0.8571428571428571,0.8888888888888888,0.857142857142857,0.6724308300395256
220,0.5555555555555556,0.5,0.5555555555555556,0.6719134284308903
221,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6709108716944172
222,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.6713798147245246
223,0.5555555555555556,0.7222222222222222,0.5555555555555556,0.670873786407767
